pais;gastotWhyear
Bolivia;9.984
Afganistán;1.063
Albania;5.176
Bután;8.952
Guinea;2.061
Guinea Ecuatorial;1.186
Cabo Verde;469
Armenia;7.264
Botsuana;3.046
Chipre;4.917
Moldavia;5.377
Montenegro;3.487
Madagascar;1.851
Fiyi;1.113
Brunéi;4.637
Haiti;982
Gabón;3.013
Barbados;1.020
Lituania;4.866
Luxemburgo;1.878
Bahamas;2.103
Letonia;5.458
República Democrática del Congo;9.211
República Centroafricana;151
República del Congo;3.710
Burkina Faso;1.727
Burundi;357
Estonia;5.902
España;256.387
Alemania;500.350
Reino Unido;289.688
Francia;472.699
Italia;286.375
Portugal;48.409
Estados Unidos;3843.833
Argentina;137.791
Austria;70.902
Bélgica;86.293
Benín;226
Brasil;622.006
Canadá;630.152
Suiza;68.910
Chile;80.117
República Checa;75.161
Dinamarca;28.457
Finlandia;66.996
Grecia;40.572
Hungría;32.994
Irlanda;33.088
Islandia;18.431
Corea del Sur;549.868
México;310.052
Países Bajos;118.715
Noruega;153.669
Polonia;146.215
Suecia;158.680
Eslovenia;16.298
Eslovaquia;27.774
Turquía;293.823
Taiwan;279.054
